6549,省皮肤病防治中心	868,新康花园站 
6480,龙美村站	868,新康花园站 
3611,南风庄站	868,新康花园站 
3610,南风庄站	868,新康花园站 
3609,南方医院总站	868,新康花园站 
3608,南方医院站2	868,新康花园站 
3605,南方医院站1	868,新康花园站 
3602,南方医科大学站	868,新康花园站 
10825,新广场站	868,新康花园站 
10822,美丽华大酒店站	868,新康花园站 
10821,市桥大桥北站	868,新康花园站 
10820,新广场站	868,新康花园站 
10811,媒体村站	868,新康花园站 
10808,广医四院西门站	868,新康花园站 
10807,广医四院西门站	868,新康花园站 
10803,地铁海傍站	868,新康花园站 
10697,马岗(广大服装城)总站	868,新康花园站 
10656,莲花山港总站	868,新康花园站 
9221,大石四中站	868,新康花园站 
9172,东海北路口站	868,新康花园站 
9168,地铁龙溪站	868,新康花园站 
9139,同和榕树头站	868,新康花园站 
10606,凤凰安置区站	868,新康花园站 
10422,金联市场站	868,新康花园站 
10387,瑞边村站	868,新康花园站 
8616,龙古村站	868,新康花园站 
8600,南沙村站	868,新康花园站 
8591,砺江桥站	868,新康花园站 
8588,石楼碧桂园站	868,新康花园站 
8586,茭塘东站	868,新康花园站 
8583,胜洲村中心站	868,新康花园站 
8576,石楼碧桂园站	868,新康花园站 
8573,砺江桥站	868,新康花园站 
8568,浮莲岗站	868,新康花园站 
8556,横沥北街口站	868,新康花园站 
7651,员村五横路口站	868,新康花园站 
7601,珠岛花园公交场站	868,新康花园站 
7468,同宝路站	868,新康花园站 
7466,白山村居委站	868,新康花园站 
7241,北太路柏塘村口站	868,新康花园站 
10982,西丽小学站	868,新康花园站 
7094,马沥村站	868,新康花园站 
7086,广东机电技术学院	868,新康花园站 
7072,石井大道(工业园)	868,新康花园站 
7064,石井大道(石沙路口)	868,新康花园站 
7052,朗头村站	868,新康花园站 
7047,机场西路尖彭路口站	868,新康花园站 
7035,金沙南路站	868,新康花园站 
7022,佛山模具城站	868,新康花园站 
7016,里水桥南站	868,新康花园站 
7009,流潮站	868,新康花园站 
6774,纲领村站	868,新康花园站 
3858,平沙站	868,新康花园站 
3857,平沙南街站	868,新康花园站 
3856,平沙南街站	868,新康花园站 
3855,平沙路口站	868,新康花园站 
3854,平沙路口站	868,新康花园站 
3853,平沙公园站	868,新康花园站 
3852,平沙公园站	868,新康花园站 
3851,平沙村站	868,新康花园站 
3850,平沙村站	868,新康花园站 
3849,平沙村(富力城)总站	868,新康花园站 
3848,平沙(农贸市场)总站	868,新康花园站 
3846,飘峰站	868,新康花园站 
3845,飘峰站	868,新康花园站 
