10439,北兴供电所站	805,谢村站 
10433,花侨市场站	805,谢村站 
8014,知识城南站	805,谢村站 
10376,旗岭站	805,谢村站 
10374,交通驾培中心站	805,谢村站 
10367,人才市场站	805,谢村站 
10321,飞达厂站	805,谢村站 
7370,洛场村站	805,谢村站 
7364,东镜市场站	805,谢村站 
7284,雅瑶市场站	805,谢村站 
7267,花城南路站	805,谢村站 
7169,人和华成路西站	805,谢村站 
7132,北太路中站	805,谢村站 
9815,大桥大街站	805,谢村站 
6624,九潭村站	805,谢村站 
6589,罗溪村委站	805,谢村站 
5835,九龙镇新市场站	805,谢村站 
5834,九龙镇新市场站	805,谢村站 
5833,九龙二小九楼分校站	805,谢村站 
8733,花围	805,谢村站 
8563,柏兴中路站	805,谢村站 
8549,太成路站	805,谢村站 
8537,天麓湖社区站	805,谢村站 
8519,环滘旧桥头站	805,谢村站 
8404,大心田村站	805,谢村站 
8287,生物研究院站	805,谢村站 
8282,开泰大道(天泰二路口)站	805,谢村站 
7991,长龙村西站	805,谢村站 
10667,五眼桥西约站	805,谢村站 
7793,恒达路站	805,谢村站 
7580,蟹山西站	805,谢村站 
7456,东平文化广场总站	805,谢村站 
10586,花山华侨中学站	805,谢村站 
7314,坪山站	805,谢村站 
6735,虎塘村站	805,谢村站 
10414,正迳站	805,谢村站 
10403,宝田加油站	805,谢村站 
10393,华严寺站	805,谢村站 
10364,松园里站	805,谢村站 
10340,阳光路站	805,谢村站 
10337,团结路口站	805,谢村站 
10317,民主村站	805,谢村站 
10273,河边大道站	805,谢村站 
10271,北村(北太路)站	805,谢村站 
10267,园坛岭路站	805,谢村站 
9133,白江村站	805,谢村站 
10195,行知学院站2	805,谢村站 
10056,星岛环南路中站	805,谢村站 
7178,人和华成路(新村公园)站	805,谢村站 
7153,地铁人和站总站	805,谢村站 
6440,科珠路口站	805,谢村站 
6433,南翔一路东站	805,谢村站 
6412,新新大道中站	805,谢村站 
9661,新丰路中(禾丰新村)站	805,谢村站 
8739,西塱永安站	805,谢村站 
8407,龙江村总站	805,谢村站 
8329,天河软件园管委会站	805,谢村站 
8275,罗坎村站	805,谢村站 
7823,萝岗演艺中心总站	805,谢村站 
7520,沐陂南路口站	805,谢村站 
5825,九佛医院站	805,谢村站 
5824,九佛二中站	805,谢村站 
5823,九佛二中站	805,谢村站 
8559,太岗路中站	805,谢村站 
8550,横沥北街口站	805,谢村站 
8406,果园村站	805,谢村站 
8401,边谭社站	805,谢村站 
10496,广州仟湖水族公司站	805,谢村站 
10419,花山第二工业区站	805,谢村站 
7897,华峰路(红旗村)站	805,谢村站 
7886,永和开发区(树吓村)总站	805,谢村站 
10266,园坛岭路站	805,谢村站 
10214,罗岗村委站	805,谢村站 
7557,潭村文化广场站	805,谢村站 
10059,星汉大道北站	805,谢村站 
6773,纲领南路站	805,谢村站 
6747,长沙浦村站	805,谢村站 
6640,金沙小区站	805,谢村站 
6619,杨山村委站	805,谢村站 
6609,小塘北路站	805,谢村站 
6565,沐陂村站	805,谢村站 
9976,粤溪村委站	805,谢村站 
5818,迳头三社站	805,谢村站 
5817,迳头三社站	805,谢村站 
5816,迳头六社站	805,谢村站 
5815,迳头六社站	805,谢村站 
5814,迳头九社总站	805,谢村站 
5813,迳头二小分校站	805,谢村站 
5812,迳头二小分校站	805,谢村站 
5811,迳头二社站	805,谢村站 
5810,迳头二社站	805,谢村站 
5805,景泰直街总站	805,谢村站 
5803,景泰直街北站	805,谢村站 
8738,西塱永安站	805,谢村站 
8737,西塱大桥站	805,谢村站 
8735,湛涌站	805,谢村站 
8734,湛涌站	805,谢村站 
8402,边谭社站	805,谢村站 
8358,土特产批发市场站	805,谢村站 
8310,沧联北区站	805,谢村站 
8279,光谱中路东站	805,谢村站 
