6205,齐富路东站	12791,林头西站 
6203,夏良路(高桥路口)站	12791,林头西站 
6182,大纲岭村站	12791,林头西站 
6173,云城西路(云城南四路口)站	12791,林头西站 
6172,齐富路总站	12791,林头西站 
6167,碑记街口站	12791,林头西站 
6054,龙溪立交南(坑口牌坊)站	12791,林头西站 
6052,坑口地铁站(芳村客运站)	12791,林头西站 
6051,坑口地铁站(芳村客运站)	12791,林头西站 
10139,平沙收费站	12791,林头西站 
10130,香雪八路中站	12791,林头西站 
10120,红旗路南站	12791,林头西站 
10091,泽德中学站	12791,林头西站 
10074,陈田村站2	12791,林头西站 
10064,东坑站2	12791,林头西站 
10060,地铁官洲站总站	12791,林头西站 
10054,生物岛水墨园站	12791,林头西站 
10035,嘉禾地铁站总站	12791,林头西站 
10011,一五七医院站2	12791,林头西站 
10006,市桥汽车站西门站	12791,林头西站 
10001,祈福食街站	12791,林头西站 
10000,隆辉工业村站	12791,林头西站 
9903,棠下站2	12791,林头西站 
9564,农林下路(广医附属一院)站2	12791,林头西站 
9873,蚌湖站	12791,林头西站 
9871,荔湾路口站	12791,林头西站 
9711,华夏路北站	12791,林头西站 
9977,百越广场东门(地铁市桥)站	12791,林头西站 
9963,富力环市西苑(西村)站1	12791,林头西站 
9605,文兴街站	12791,林头西站 
9667,启学路站	12791,林头西站 
9782,人和商业中心总站	12791,林头西站 
9483,爱群大厦站2	12791,林头西站 
9859,泽德花苑站	12791,林头西站 
9526,南天商业城总站	12791,林头西站 
9439,员村山顶站3	12791,林头西站 
9952,龙溪立交南(坑口牌坊)站	12791,林头西站 
9914,龙溪大道西裕海路口站	12791,林头西站 
9413,石围塘站2	12791,林头西站 
9410,省军区站2	12791,林头西站 
9400,桥东小区站2	12791,林头西站 
9366,广东大厦站2	12791,林头西站 
1158,逸景翠园总站①	12791,林头西站 
1157,谊信路口站	12791,林头西站 
1156,谊信路口站	12791,林头西站 
1155,益民服装城东门站	12791,林头西站 
1153,易兴工业区站	12791,林头西站 
1151,艺苑南路站	12791,林头西站 
1150,艺苑南路站	12791,林头西站 
1149,艺苑南路口站	12791,林头西站 
1143,颐和山庄站	12791,林头西站 
1142,颐和山庄站	12791,林头西站 
1138,怡新路东站	12791,林头西站 
1137,怡趣路站	12791,林头西站 
1136,怡乐路站	12791,林头西站 
1135,怡乐路站	12791,林头西站 
1134,怡乐路南站	12791,林头西站 
1133,怡乐路南站	12791,林头西站 
1130,怡港花园站	12791,林头西站 
3498,梅园西站	12791,林头西站 
3497,梅山工业区站	12791,林头西站 
3496,梅山工业区站	12791,林头西站 
3493,梅山村站	12791,林头西站 
3492,梅山村站	12791,林头西站 
3491,梅花园站	12791,林头西站 
3490,梅花园站2	12791,林头西站 
3489,梅花村站2	12791,林头西站 
3488,梅花村站1	12791,林头西站 
3487,梅花村站1	12791,林头西站 
3486,帽峰山(铜锣湾水库)总站	12791,林头西站 
3485,茅坦村站	12791,林头西站 
3484,茅坦村站	12791,林头西站 
3483,茅岗站B	12791,林头西站 
3482,茅岗站B	12791,林头西站 
3481,茅岗站	12791,林头西站 
3480,茅岗站	12791,林头西站 
3479,茅岗新村总站	12791,林头西站 
3478,茅岗市场站	12791,林头西站 
3477,茅岗市场站	12791,林头西站 
3476,茅岗路口站	12791,林头西站 
3475,茅岗路口站	12791,林头西站 
3474,茅岗口站	12791,林头西站 
3471,茅岗村站	12791,林头西站 
3470,茅岗村站	12791,林头西站 
3469,麦村站2	12791,林头西站 
3468,麦村站1	12791,林头西站 
3467,麦村站	12791,林头西站 
3465,马务站1	12791,林头西站 
3464,马务站1	12791,林头西站 
3461,马场路中站	12791,林头西站 
3460,马场路中站	12791,林头西站 
3459,马场路南(南国花园)站	12791,林头西站 
3458,马场路南(南国花园)站	12791,林头西站 
3457,洛溪新城总站	12791,林头西站 
3456,洛溪新城站	12791,林头西站 
3455,洛溪新城站	12791,林头西站 
3454,洛溪新城(五湖四海水产市场)总站	12791,林头西站 
3452,洛溪小学站	12791,林头西站 
3450,洛溪桥脚站2	12791,林头西站 
3449,洛溪桥脚站2	12791,林头西站 
3448,洛溪桥脚站1	12791,林头西站 
3447,洛溪桥脚站1	12791,林头西站 
3446,洛涛南区站	12791,林头西站 
3445,洛涛居站	12791,林头西站 
3444,洛涛居站	12791,林头西站 
3443,洛城中学站	12791,林头西站 
3442,洛城中学站	12791,林头西站 
3439,萝坎村站	12791,林头西站 
3438,萝坎村站	12791,林头西站 
3437,萝格路站	12791,林头西站 
3436,萝格路站	12791,林头西站 
3435,萝格路口站	12791,林头西站 
3434,萝格路口站	12791,林头西站 
3432,萝岗中心小学站	12791,林头西站 
3431,萝岗中心小学站	12791,林头西站 
3426,萝岗墟站	12791,林头西站 
3425,萝岗墟站	12791,林头西站 
3424,萝岗文体中心西站	12791,林头西站 
3423,萝岗文体中心西站	12791,林头西站 
3422,萝岗市民广场站	12791,林头西站 
3421,萝岗市民广场站	12791,林头西站 
3420,萝岗街总站3	12791,林头西站 
3418,萝岗街总站1	12791,林头西站 
3417,萝岗会议中心站	12791,林头西站 
3416,萝岗会议中心站	12791,林头西站 
3415,萝岗会议中心西站	12791,林头西站 
3414,萝岗会议中心西站	12791,林头西站 
3413,萝岗行政执法综合楼站	12791,林头西站 
3412,萝岗行政执法综合楼站	12791,林头西站 
3411,萝岗村委总站	12791,林头西站 
3410,萝岗村委站	12791,林头西站 
3409,萝岗村委站	12791,林头西站 
3406,萝岗村口站	12791,林头西站 
3405,萝岗村口站	12791,林头西站 
3403,萝峰村站	12791,林头西站 
3402,萝峰村站	12791,林头西站 
3397,罗溪总站	12791,林头西站 
3396,罗家村(市莲路)站	12791,林头西站 
